Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20 12:00:00 AM,
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20 12:00:00 AM,
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20 12:00:00 AM,
,John,Barlow,Foothills,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Rachel,Bendayan,Outremont,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Carolyn,Bennett,Toronto—St. Paul's,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Candice,Bergen,Portage—Lisgar,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,2021-09-20 12:00:00 AM,
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Chris,Bittle,St. Catharines,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,2021-09-20 12:00:00 AM,
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Kody,Blois,Kings—Hants,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,2021-09-20 12:00:00 AM,
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2021-09-20 12:00:00 AM,
,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Larry,Brock,Brantford—Brant,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Frank,Caputo,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Colin,Carrie,Oshawa,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2021-09-20 12:00:00 AM,
,George,Chahal,Calgary Skyview,Alberta,Liberal,2021-09-20 12:00:00 AM,
,Adam,Chambers,Simcoe North,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20 12:00:00 AM,
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20 12:00:00 AM,
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Han,Dong,Don Valley North,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20 12:00:00 AM,
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20 12:00:00 AM,
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20 12:00:00 AM,
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20 12:00:00 AM,
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2021-09-20 12:00:00 AM,
