Id,SponsorName,SponsorTitle,Constituency,Political Affiliation,Code,Title,LatestStageName,ParliamentNumber,SessionNumber,BillType,ReceivedRoyalAssent,Ongoing,ReadingsPassed,BillOrigin,FirstStageDate,LastStageDate,TimeAlive
41-2/C-572,Peter Stoffer,Member of Parliament,Sackville—Eastern Shore,NDP,C-572,An Act to amend the Canadian Forces Superannuation Act and the Royal Canadian Mounted Police Superannuation Act (deduction of disability pensions),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-01-30,2014-01-30,0 days
40-3/C-572,Paul Dewar,Member of Parliament,Ottawa Centre,NDP,C-572,Strengthening Fiscal Transparency Act,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-09-30,2010-09-30,0 days
39-2/C-572,Joyce Murray,Member of Parliament,Vancouver Quadra,Liberal,C-572,"An Act to amend the Excise Tax Act (no GST on bicycles, adult tricycles and related goods and services)",First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-06-19,2008-06-19,0 days
41-2/C-573,Matthew Kellway,Member of Parliament,Beaches—East York,NDP,C-573,International Mother Language Day Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-02-05,2014-02-05,0 days
40-3/C-573,Andrew Kania,Member of Parliament,Brampton West,Liberal,C-573,Pope John Paul II Day Act,Second reading in the House of Commons,40,3,Private Member’s Bill,False,False,2,IsHouseBill,2010-10-01,2011-02-14,136 days
39-2/C-573,Dennis Bevington,Member of Parliament,Western Arctic,NDP,C-573,An Act to change the name of the electoral district of Western Arctic,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-06-19,2008-06-19,0 days
41-2/C-574,Claude Patry,Member of Parliament,Jonquière—Alma,Bloc Québécois,C-574,An Act to amend the Department of Public Works and Government Services Act (use of wood),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-02-06,2014-02-06,0 days
40-3/C-574,Judy Sgro,Member of Parliament,York West,,C-574,Retirement Income Bill of Rights,Second reading in the House of Commons,40,3,Private Member’s Bill,False,False,2,IsHouseBill,2010-10-01,2011-02-04,126 days
39-2/C-574,Navdeep Bains,Member of Parliament,Mississauga—Brampton South,Liberal,C-574,An Act to amend the Special Import Measures Act (environmental costs),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-06-20,2008-06-20,0 days
41-2/C-575,Megan Anissa Leslie,Member of Parliament,Halifax,,C-575,An Act to amend the Canada Elections Act (residence of electors),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-02-14,2014-02-14,0 days
40-3/C-575,Kelly Block,Member of Parliament,Saskatoon—Rosetown—Biggar,Conservative,C-575,First Nations Financial Transparency Act,Second reading in the House of Commons,40,3,Private Member’s Bill,False,False,2,IsHouseBill,2010-10-01,2011-03-02,152 days
41-2/C-576,Olivia Chow,Member of Parliament,Trinity—Spadina,NDP,C-576,An Act to amend the Canada Pension Plan (retroactive payments),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-02-26,2014-02-26,0 days
40-3/C-576,Earl Dreeshen,Member of Parliament,Red Deer,Conservative,C-576,An Act to amend the Criminal Code (personating peace officer),Second reading in the House of Commons,40,3,Private Member’s Bill,False,False,2,IsHouseBill,2010-10-01,2011-02-09,131 days
41-2/C-577,Olivia Chow,Member of Parliament,Trinity—Spadina,NDP,C-577,VIA Rail Canada Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-04,2014-03-04,0 days
40-3/C-577,Peter Julian,Member of Parliament,Burnaby—New Westminster,NDP,C-577,An Act to amend the Income Tax Act (hearing impairment),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-05,2010-10-05,0 days
41-2/C-578,Ted Hsu,Member of Parliament,Kingston and the Islands,Liberal,C-578,An Act to amend the Employment Insurance Act (removal of waiting period for apprentices),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-05,2014-03-05,0 days
40-3/C-578,Don Davies,Member of Parliament,Vancouver Kingsway,NDP,C-578,An Act to amend the Federal-Provincial Fiscal Arrangements Act (prescription drug and dental care),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-06,2010-10-06,0 days
41-2/C-579,Paulina Ayala,Member of Parliament,Honoré-Mercier,NDP,C-579,Reducing the effects of urban heat islands Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-24,2014-03-24,0 days
40-3/C-579,Malcolm Allen,Member of Parliament,Welland,NDP,C-579,National Local Food Day Act,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-07,2010-10-07,0 days
41-2/C-580,Charmaine Borg,Member of Parliament,Terrebonne—Blainville,NDP,C-580,Taking the Privacy of Canadians Seriously Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-25,2014-03-25,0 days
40-3/C-580,Charlie Angus,Member of Parliament,Timmins—James Bay,NDP,C-580,"An Act to amend the Criminal Code, the Firearms Act and the Contraventions Act (long guns)",First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-08,2010-10-08,0 days
41-2/C-581,Steven Fletcher,Member of Parliament,Charleswood—St. James—Assiniboia,Conservative,C-581,An Act to amend the Criminal Code (physician-assisted death),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-27,2014-03-27,0 days
40-3/C-581,Irene Mathyssen,Member of Parliament,London—Fanshawe,NDP,C-581,Status of Women Canada Act,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-18,2010-10-18,0 days
41-2/C-582,Steven Fletcher,Member of Parliament,Charleswood—St. James—Assiniboia,Conservative,C-582,Canadian Commission on Physician-Assisted Death,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-27,2014-03-27,0 days
40-3/C-582,Roger Gaudet,Member of Parliament,Montcalm,Bloc Québécois,C-582,An Act to amend the National Housing Act (payment to provinces),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-18,2010-10-18,0 days
41-2/C-583,Ryan Leef,Member of Parliament,Yukon,Conservative,C-583,An Act to amend the Criminal Code (fetal alcohol spectrum disorder),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-31,2014-03-31,0 days
40-3/C-583,Brian Masse,Member of Parliament,Windsor West,NDP,C-583,An Act to amend the Statistics Act (Chief Statistician),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-10-21,2010-10-21,0 days
41-2/C-584,Ève Péclet,Member of Parliament,La Pointe-de-l'Île,NDP,C-584,Corporate Social Responsibility of Extractive Corporations Outside Canada Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2014-03-31,2014-03-31,0 days
