SponsorInfo
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 35-1/S-4
Name: Jack Marshall
Title: Senator
Constituency: None"
"ID: 44-1/S-5
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 43-2/S-5
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 42-1/S-5
Name: Peter Harder
Title: Senator
Constituency: None"
"ID: 41-2/S-5
Name: Claude Carignan
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 41-1/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-2/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 39-1/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-5
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 37-3/S-5
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 37-2/S-5
Name: Gerald J. Comeau
Title: Senator
Constituency: None"
"ID: 37-1/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-5
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 36-1/S-5
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 35-2/S-5
Name: Stanley Haidasz
Title: Senator
Constituency: None"
"ID: 35-1/S-5
Name: Horace Olson
Title: Senator
Constituency: None"
"ID: 44-1/S-6
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 42-1/S-6
Name: Peter Harder
Title: Senator
Constituency: None"
"ID: 41-2/S-6
Name: Claude Carignan
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 41-1/S-6
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-6
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-2/S-6
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 39-1/S-6
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-6
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 37-3/S-6
Name: Jean Lapointe
Title: Senator
Constituency: None"
"ID: 37-2/S-6
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-1/S-6
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 36-2/S-6
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 36-1/S-6
Name: Colin Kenny
Title: Senator
Constituency: None"
"ID: 35-2/S-6
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 35-1/S-6
Name: Philippe Gigantès
Title: Senator
Constituency: None"
"ID: 44-1/S-7
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 41-2/S-7
Name: Claude Carignan
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 41-1/S-7
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-7
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-2/S-7
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-7
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-3/S-7
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-2/S-7
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 37-1/S-7
Name: Sheila Finestone
Title: Senator
Constituency: None"
"ID: 36-2/S-7
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 36-1/S-7
Name: Stanley Haidasz
Title: Senator
Constituency: None"
"ID: 35-2/S-7
Name: James Kelleher
Title: Senator
Constituency: None"
"ID: 35-1/S-7
Name: Colin Kenny
Title: Senator
Constituency: None"
"ID: 44-1/S-8
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 41-1/S-8
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-8
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-2/S-8
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-8
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-3/S-8
Name: Mira Spivak
Title: Senator
Constituency: None"
"ID: 37-2/S-8
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-1/S-8
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 36-2/S-8
Name: Ronald D. Ghitter
Title: Senator
Constituency: None"
"ID: 36-1/S-8
Name: Stanley Haidasz
Title: Senator
Constituency: None"
"ID: 35-2/S-8
Name: Lowell Murray
Title: Senator
Constituency: None"
"ID: 35-1/S-8
Name: Michael Kirby
Title: Senator
Constituency: None"
"ID: 44-1/S-9
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 41-1/S-9
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-9
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-9
Name: Joseph A. Day
Title: Senator
Constituency: None"
"ID: 37-3/S-9
Name: Thelma Chalifoux
Title: Senator
Constituency: None"
"ID: 37-2/S-9
Name: Thelma Chalifoux
Title: Senator
Constituency: None"
"ID: 37-1/S-9
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 36-2/S-9
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 36-1/S-9
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 35-2/S-9
Name: David Tkachuk
Title: Senator
Constituency: None"
"ID: 35-1/S-9
